"","X[[i]]"
"105","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"106","remember that  got an american spy killed with her illegal private server scandal tcowexnkapsq"
"107","rt    voters she follows want  people beheaded amp raped when will media make  disavow t"
"108","have either  or  said anything about the empty  seat  "
"109","rt  us  admits   is a threat to national security     tcok"
"110","rt   of people who think scandal about  also think a heavy snowfall disproves global warming  "
"111","rt  best line from  pollsters  looks like shes about to do what  other  couldnt doand do"
"112","rt  for sale gt going fast gt sold gt   bought amp paid for by   tcoezkmtc htt"
"113",NA
"114","rt  what if  foundation looked like donalds foundation tcojovqlmrxtj"
"115","electing  hurts the morality of america electing  proves that you can buy anything"
"116","rt  fbi docs linked to  role in s suicide missing  report tcoufxpbrq tcod"
"117","rt           democrats make it possible http"
"118","rt      has nothing to do with  or the "
"119","awesome tweet storm   tcordnjnjyex"
"120","rt  ever since  has been in hiding ive been so  please come out  so i can see ur ugly f"
"121","rt  what if  foundation looked like donalds foundation tcojovqlmrxtj"
"122","rt  when  stands up against democracy its with the help of  tc"
"123","rt  lmao this made my day        tco"
"124",NA
"125","great   vine by yung french fry tcofrevrmp"
"126","rt   of people who think scandal about  also think a heavy snowfall disproves global warming  "
"127","rt   of people who think scandal about  also think a heavy snowfall disproves global warming  "
"128","rt  rt for  or fave for  or fave amp rt for both   tcoggczjuq t"
"129","rt   but wasserman schultz is an expert at rigging primaries for her good friend  tcomxdz"
"130","rt  what if  foundation looked like donalds foundation tcojovqlmrxtj"
"131","rt  follow the  money trail how can anyone vote for this master criminal    tcoa"
"132",NA
"133","rt   if you dont care about america vote  because she couldnt care less about any of us "
"134"," dems are having to work awfully hard just to keep s head above watershe will eventually give way "
"135","rt   if you dont care about america vote  because she couldnt care less about any of us "
"136","rt  what if  foundation looked like donalds foundation tcojovqlmrxtj"
"137","rt  lmao this made my day        tco"
"138","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"139","rt  for sale gt going fast gt sold gt   bought amp paid for by   tcoezkmtc htt"
"140"," and  collapse mess care of   "
"141","rt   of people who think scandal about  also think a heavy snowfall disproves global warming  "
"142","rt   of people who think scandal about  also think a heavy snowfall disproves global warming  "
"143","says the guy trying to get her elected to the highest office in the land    tcoyornftir"
"144","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"145","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"146","rt    foundation investigation update key details about financial and political dealings "
"147","rt  what if  foundation looked like donalds foundation tcojovqlmrxtj"
"148","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"149"," attacks  because he would  prefer people forget that he hast released his  "
"150","rt   of people who think scandal about  also think a heavy snowfall disproves global warming  "
"151","rt  what if  foundation looked like donalds foundation tcojovqlmrxtj"
"152"," mess care of   "
"153","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"154"," state dept helped jailed  donor get  mil from us for failed haiti project tcodsprtjsaee"
"155"," mess care of   "
"156","rt  what if  foundation looked like donalds foundation tcojovqlmrxtj"
"157","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"158","    mess care of   "
"159","somebody call a tv timeout        tcokbqcqwit"
"160","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"161","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"162","  mess care of   "
"163","rt    foundation received million in donations from hsbc swiss bank    of many "
"164","rt    helps a bankand then it funnels millions to the     t"
"165","rt   got  million from terror supporting  nationsthe reason she appeases muslim terrorismhtt"
"166"," mess care of   "
"167","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"168","rt  wikileaks soros puppetmastered the balkan wars to enrich himself  tcoeyhbdaby   "
"169"," of people who think scandal about  also think a heavy snowfall disproves global warming  "
"170"," mess care of   "
"171","rt  wikileaks october surprise include  close ties to saudis and russia tcofvtlgfrrmu   "
"172","rt  julian assange reveal  relationship with russia tcohitdydcwqw     "
"173"," mess care of   "
"174","rt   amp  sittin in a tree tcoahngipzl"
"175","rt  we will not allow   ways we need to go out in masses to vote   "
"176","rt  best line from  pollsters  looks like shes about to do what  other  couldnt doand do"
"177","rt   got  million from terror supporting  nationsthe reason she appeases muslim terrorismhtt"
"178","read thread on inaccuracies in ap article on   and and  esp interesting point tcoiwqytwnvy"
"179","rt   now cutting hair at her rallies supercuts was nice to supply her with their official garb  htt"
"180","rt   every journalist must read of you guilty of this  unspoken rules for covering  tcownf"
"181","rt  follow the  money trail how can anyone vote for this master criminal    tcoa"
"182",NA
"183","  i cannot think of a nominee who was ever more qualified or capable  not even "
"184"," got  million from terror supporting  nationsthe reason she appeases muslim terrorismtcojwrlnri"
"185","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"186","rt   goes on late night tv amp jokes about emails  people died because of her disgusting tcogncf"
"187","rt  best line from  pollsters  looks like shes about to do what  other  couldnt doand do"
"188"," and  an  to   we cannot afford to have these two  at the helm in dc very "
"189",NA
"190","rt   if you dont care about america vote  because she couldnt care less about any of us "
"191","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"192","rt  media is trying to bring down  with emails while donald trump is embracing the alt right a racist group just l"
"193","rt  breaking news men set to testify against  corruption all killed in one monthgo viral with this h"
"194","rt   unamerican  takes direction from a guy who used to run jews to nazi death camps tcot"
"195","lmao this made my day        tcoyhouhz"
"196","rt  is this for real  is  recruiting illegal immigrants to vote video by  at  tco"
"197",NA
"198","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"199","rt  live on  steves grill rant about  tcohdrxtweee"
"200","rt   has a  chance of winning the us election if it were held today poll tcozfciae "
"201","      in order to avoid questions of her wrong doingtconyijdtdbbf"
"202","rt   has a  chance of winning the us election if it were held today poll tcozfciae "
"203","rt  media is trying to bring down  with emails while donald trump is embracing the alt right a racist group just l"
"204"," supporter goes batshit crazysen harry reid calls benghazi mother crazy  tcoubqqmck"
"205","rt    foundation received million in donations from hsbc swiss bank    of many "
"206",NA
"207","rt  the dumbass  cares more about  than it does about s reckless handling of national secu"
"208","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"209"," i saw trumps lies today i dont like child rapiers or any kind he did rape a  year old in "
"210","rt  the  is under fire for shoddy  story tcoaqxytthih"
"211"," starting with "
"212","live on  steves grill rant about  tcohdrxtweee"
"213","rt   unamerican  takes direction from a guy who used to run jews to nazi death camps tcot"
"214","rt   confirms daily she is a liar and a hypocrite mind blowing her sheep dont see it tcowugvqrlxq"
"215",NA
"216","rt  follow the  money trail how can anyone vote for this master criminal    tcoa"
"217",NA
"218","according to  ad her entire economic plan is to tax the corporations and then take the money and reinvest in corporations"
"219","s evil cackle laughing greatest hits cd    tcouwnsajqzre via "
"220","so excited to be about to see  in los altos tcoqszxhpus"
"221","rt   to perform at an  fundraiser with  on september  in new york  "
"222"," campaign asks  to correct  about   meetings probe  tcoujzqrdnpm"
"223"," guess you dont have time for those common folk you know so well of raising money tcovdwsaqkqf"
"224","forget the failures of the  hey  out there is  seriously the best you could come up with be honest"
"225","rt  google hides clinton body count search suggestions  tcogonlcjmcb t"
"226","rt   if you dont care about america vote  because she couldnt care less about any of us "
"227","rt  best line from  pollsters  looks like shes about to do what  other  couldnt doand do"
"228","rt  my friends and i are not voting for  nor did we watch  last night hardly anyone did ht"
"229",NA
"230","rt   may have found the perfect attack to use against     http"
"231","  the press keep circulating a false narrative about "
"232","rt  google hides clinton body count search suggestions  tcogonlcjmcb t"
"233","rt  these two critical swing states are quickly shifting toward  tcouugizybs tcomztxz"
"234","the dumbass  cares more about  than it does about s reckless handling of national security typical "
"235","rt  watch  openly tell the crowd in india the us will never stop outsourcing jobs to them http"
